Anio,Entidad,Producto,Nomunidad,Volumenproduccion
2019,Tamaulipas,Arroz,Tonelada,5597270.4
2019,Tamaulipas,Frijol,Tonelada,566450.35
2019,Tamaulipas,Leche,Miles de lts,0
2019,Tamaulipas,Maíz,Tonelada,525966637.7
2019,Tamaulipas,Trigo,Tonelada,480007.5
2019,Tlaxcala,Frijol,Tonelada,189489.83
2019,Tlaxcala,Leche,Miles de lts,0
2019,Tlaxcala,Maíz,Tonelada,38462830.96
2019,Tlaxcala,Trigo,Tonelada,4655358.95
2019,Veracruz de Ignacio de la Llave,Arroz,Tonelada,9598694.1
2019,Veracruz de Ignacio de la Llave,Frijol,Tonelada,6223341.66
2019,Veracruz de Ignacio de la Llave,Leche,Miles de lts,0
2019,Veracruz de Ignacio de la Llave,Maíz,Tonelada,274622863
2019,Veracruz de Ignacio de la Llave,Trigo,Tonelada,84705.3
2019,Yucatán,Frijol,Tonelada,234648.03
2019,Yucatán,Leche,Miles de lts,0
2019,Yucatán,Maíz,Tonelada,75050469.39
2019,Zacatecas,Frijol,Tonelada,72053861.76
2019,Zacatecas,Leche,Miles de lts,0
2019,Zacatecas,Maíz,Tonelada,552591938.8
2019,Zacatecas,Trigo,Tonelada,1164247.35
2020,Aguascalientes,Frijol,Tonelada,1252548.88
2020,Aguascalientes,Leche,Miles de lts,147791150.2
2020,Aguascalientes,Maíz,Tonelada,514947235.9
2020,Baja California,Leche,Miles de lts,231679397.8
2020,Baja California,Maíz,Tonelada,69189841.4
2020,Baja California,Trigo,Tonelada,522488063.9
2020,Baja California Sur,Frijol,Tonelada,1614872.44
2020,Baja California Sur,Leche,Miles de lts,35901903.35
2020,Baja California Sur,Maíz,Tonelada,40447407.92
2020,Baja California Sur,Trigo,Tonelada,20731374.3
2020,Campeche,Arroz,Tonelada,50596473.4
2020,Campeche,Frijol,Tonelada,646309.02
2020,Campeche,Leche,Miles de lts,27788032.65
2020,Campeche,Maíz,Tonelada,157997709.9
2020,Chiapas,Arroz,Tonelada,115244.52
2020,Chiapas,Frijol,Tonelada,35551707.48
2020,Chiapas,Leche,Miles de lts,337065646.4
2020,Chiapas,Maíz,Tonelada,693299706.1
2020,Chiapas,Trigo,Tonelada,495.8
2020,Chihuahua,Frijol,Tonelada,12171415.62
2020,Chihuahua,Leche,Miles de lts,620150246.5
2020,Chihuahua,Maíz,Tonelada,989313985.8
2020,Chihuahua,Trigo,Tonelada,21581812.05
2020,Ciudad de México,Frijol,Tonelada,9612.54
2020,Ciudad de México,Leche,Miles de lts,1899439.839
2020,Ciudad de México,Maíz,Tonelada,1704202.96
2020,Coahuila de Zaragoza,Frijol,Tonelada,581324.62
2020,Coahuila de Zaragoza,Leche,Miles de lts,369558302.6
2020,Coahuila de Zaragoza,Maíz,Tonelada,290719381.6
2020,Coahuila de Zaragoza,Trigo,Tonelada,6301809.46
2020,Colima,Arroz,Tonelada,7126651.26
2020,Colima,Frijol,Tonelada,1527.96
2020,Colima,Leche,Miles de lts,15011871.13
2020,Colima,Maíz,Tonelada,21209046.69
2020,Durango,Frijol,Tonelada,9362957.26
2020,Durango,Leche,Miles de lts,582627761.2
2020,Durango,Maíz,Tonelada,1050022313
2020,Durango,Trigo,Tonelada,1159758.02
2020,Guanajuato,Frijol,Tonelada,17076024.9
2020,Guanajuato,Leche,Miles de lts,285347346.3
2020,Guanajuato,Maíz,Tonelada,776304088.2
